id,instruction,modality_hint,task,class
827,I need you to attenuate structured noise in this PET image affecting the knee cartilage without altering intensity relationships as soon as possible?,PET,medical image restoration – denoising,noise
150,Can you attenuate dose reduction banding in this PET scan affecting the cortical bone while preserving low-contrast pathology ?,PET,medical image restoration – low-dose artifact reduction,low-dose
578,Please upscale the reduced sampling density affecting the soft tissue planes without distorting small structures for accurate diagnosis?,implicit,medical image restoration – super-resolution,SR
776,Could you remove Poisson noise in this CT image affecting the surrounding parenchyma without altering intensity relationships for reliable interpretation?,CT,medical image restoration – denoising,noise
49,Would you correct electronic sensor noise in this CT image affecting the pulmonary vessels without oversmoothing edges for immediate review?,CT,medical image restoration – denoising,noise
822,Would you mitigate noise from aggressive dose reduction in this X-ray scan affecting the pelvic organs without blurring fine anatomy for accurate diagnosis?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
832,"For this case, can you mitigate Gaussian noise in this PET image affecting the knee cartilage while preserving natural texture urgently?",PET,medical image restoration – denoising,noise
899,Would you fix system-induced blur in this CT image affecting the myocardial wall without creating ringing artifacts for reliable interpretation?,CT,medical image restoration – deblurring,blur
460,"For this case, can you attenuate structured noise in this CT image affecting the nerve roots without blurring fine detail as soon as possible?",CT,medical image restoration – denoising,noise
612,Is it possible to clean up quantum noise in this CT image affecting the sinus cavities without blurring fine detail for immediate review?,CT,medical image restoration – denoising,noise
238,Can you mitigate reconstruction blur affecting the lesion boundaries without distorting fine structures ?,implicit,medical image restoration – deblurring,blur
502,Could you remove statistical noise in this MRI image affecting the cerebral vessels without masking small structures for reliable interpretation?,MRI,medical image restoration – denoising,noise
341,"For clinical review, can you remove photon starvation streaks in this PET scan affecting the spinal cord while maintaining anatomical fidelity ?",PET,medical image restoration – low-dose artifact reduction,low-dose
134,I need you to reduce electronic sensor noise in this PET image affecting the nerve roots while preserving natural texture for accurate diagnosis?,PET,medical image restoration – denoising,noise
882,Could you mitigate photon starvation streaks in this CT scan affecting the surrounding parenchyma without obscuring subtle lesions ?,CT,medical image restoration – low-dose artifact reduction,low-dose
719,Is it possible to address noise from aggressive dose reduction in this CT scan affecting the brain cortex without altering attenuation relationships as soon as possible?,CT,medical image restoration – low-dose artifact reduction,low-dose
164,Is it possible to fix partial volume blur in this MRI image affecting the kidney cortex while maintaining diagnostic contrast urgently?,MRI,medical image restoration – deblurring,blur
289,Could you reduce photon starvation streaks in this X-ray scan affecting the lesion boundaries without altering attenuation relationships for accurate diagnosis?,X-ray,medical image restoration – low-dose artifact reduction,low-dose
836,Can you address background acquisition noise in this X-ray image affecting the shoulder tendons without masking small structures as soon as possible?,X-ray,medical image restoration – denoising,noise
